person name ID	corporate indicator	index order	name entry element	name scope notes	name second element	name third element	natural order	name query indicator	standardised entry element	standardised second element
216	TRUE		Cerisy		abbey of Saint-Vigor			FALSE	cerisy	abbey of saint-vigor
217	FALSE		Hugh		Broc			FALSE	hugh	broc
218	FALSE		Roger		Broc			FALSE	roger	broc
219	FALSE		Robert		Grauis			FALSE	robert	grauis
220	FALSE		Warin			abbot of Cerisy		FALSE	warin	
221	FALSE		Osmund			monk of Cerisy		FALSE	osmund	
222	FALSE		Almodus			abbot of Cerisy		FALSE	almodus	
223	FALSE		Hugh			abbot of Cerisy		FALSE	hugh	
224	FALSE		Roger		Suhardus			FALSE	roger	suhardus
225	FALSE		Ascheter		de Gueron			FALSE	ascheter	de gueron
226	FALSE		William		du Hommet			FALSE	william	du hommet
227	FALSE		Robert			uncle of William Hommet		FALSE	robert	
228	FALSE		Robert		Turbourc			FALSE	robert	turbourc
229	FALSE		Guy		of Saint-	Quentin		FALSE	guy	of saint-
230	FALSE		Ralph		of Grainville			FALSE	ralph	of grainville
231	FALSE		Richard		Talebot			FALSE	richard	talebot
232	FALSE		William		de Montfiquet			FALSE	william	de montfiquet
233	FALSE		William			chamberlain		FALSE	william	
234	FALSE		Ascelinus		the clerk			FALSE	ascelinus	the clerk
235	FALSE		Waroiis					FALSE	waroiis	
236	FALSE		Ralph		son of William			FALSE	ralph	son of william
237	FALSE		Richard		de Mereio			FALSE	richard	de mereio
238	FALSE		Roger		de Montigny			FALSE	roger	de montigny
239	FALSE		William		Bacon			FALSE	william	bacon
240	FALSE		Osmund		son of Frol-	andus		FALSE	osmund	son of frol-
241	FALSE		Ralph		son of Alan			FALSE	ralph	son of alan
242	TRUE		Chertsey		Abbey			FALSE	chertsey	abbey
243	FALSE		Urse		d'Abetot			FALSE	urse	dabetot
244	TRUE		Cluny		Abbey			FALSE	cluny	abbey
245	FALSE		Gundrada		de Warenne			FALSE	gundrada	de warenne
246	FALSE		Hugh			abbot of Cluny		FALSE	hugh	
247	TRUE		Coutances		Cathedral			FALSE	coutances	cathedral
248	TRUE		Coventry		Abbey			FALSE	coventry	abbey
249	FALSE		Leofwine			abbot of Coventry		FALSE	leofwine	
250	FALSE		Leofric			earl of Mercia		FALSE	leofric	
252	TRUE		Crowland		Abbey			FALSE	crowland	abbey
253	FALSE		Ingulf			abbot of Crowland		FALSE	ingulf	
254	FALSE		Eadred			king of England		FALSE	eadred	
255	FALSE		William			count [unknown]		FALSE	william	
256	FALSE		Alfred			count of [unknown]		FALSE	alfred	
257	FALSE		Alfred		son of Topi			FALSE	alfred	son of topi
258	FALSE		William		Malet			FALSE	william	malet
259	TRUE		Durham		Cathedral			FALSE	durham	cathedral
260	FALSE		Thurstan			"abbot of Glastonbury, 1081-1096+"		FALSE	thurstan	
261	FALSE		Gregory VII			pope		FALSE	gregory vii	
262	FALSE		Turgot			prior of Durham		FALSE	turgot	
263	FALSE		John			bishop of Bath		FALSE	john	
265	FALSE		William		Peverel I	of Dover		FALSE	william	peverel i
266	FALSE		Ælfgar		Cida			FALSE	ælfgar	cida
267	FALSE		Ulfketel		brother of Ælfgar Cida			FALSE	ulfketel	brother of ælfgar cida
268	FALSE		Godric		son of Fredegis			FALSE	godric	son of fredegis
269	FALSE		Oingar		son of Ælnoth			FALSE	oingar	son of ælnoth
270	TRUE		Ely		Abbey			FALSE	ely	abbey
271	FALSE		Symeon			abbot of Ely		FALSE	symeon	
272	FALSE		Ralph		de Beaufou			FALSE	ralph	de beaufou
273	FALSE		Hervey		de Bourges			FALSE	hervey	de bourges
274	FALSE		Hardwin		d'Escalers			FALSE	hardwin	descalers
275	FALSE		Picot			sheriff of Cambridgeshire		FALSE	picot	
276	FALSE		Hugh		de Bernerui			FALSE	hugh	de bernerui
277	FALSE		Frodo			brother of the abbot of Ely		FALSE	frodo	
280	FALSE		Wulfwold			abbot of Chertsey		FALSE	wulfwold	
281	FALSE		Tihel		de Helléan			FALSE	tihel	de helléan
282	FALSE		Hugh		de Hosdeng			FALSE	hugh	de hosdeng
283	FALSE		Goscelin		of Norwich			FALSE	goscelin	of norwich
284	FALSE		Ralph		son of Waleran			FALSE	ralph	son of waleran
285	FALSE		Robert		Gernon			FALSE	robert	gernon
286	FALSE		Roger		de Ivry			FALSE	roger	de ivry
287	TRUE		Evesham		Abbey			FALSE	evesham	abbey
288	FALSE		R.			sheriff of Warwickshire		FALSE	r.	
289	FALSE		Æthelwig			abbot of Evesham		FALSE	æthelwig	
290	FALSE		Manni			abbot of Evesham		FALSE	manni	
291	FALSE		Walter			abbot of Evesham		FALSE	walter	
292	FALSE		Durand			sheriff of Gloucestershire		FALSE	durand	
293	FALSE		Walter			sheriff of Warwickshire		FALSE	walter	
294	FALSE		Osbern		son of Richard			FALSE	osbern	son of richard
295	TRUE		Fecamp		Abbey			FALSE	fecamp	abbey
296	FALSE		Robert		son of Roger	vicomte		FALSE	robert	son of roger
297	FALSE		Stigand			dapifer		FALSE	stigand	
298	FALSE		John			abbot of Fécamp		FALSE	john	
299	FALSE		Gulbert		uncle of Bernard			FALSE	gulbert	uncle of bernard
300	FALSE		Tetfridus		d'Auffay			FALSE	tetfridus	dauffay
301	FALSE		Geoffrey		de Saint-Denis	-sur-Scie		FALSE	geoffrey	de saint-denis
302	FALSE		William		Malus Conductus			FALSE	william	malus conductus
304	FALSE		Berardus		de Fécamp			FALSE	berardus	de fécamp
305	FALSE		Waleran		son of Stephen			FALSE	waleran	son of stephen
306	FALSE		John					FALSE	john	
307	TRUE		Glastonbury		Abbey			FALSE	glastonbury	abbey
308	TRUE		Gloucester		Abbey			FALSE	gloucester	abbey
309	FALSE		Serlo			abbot of Gloucester		FALSE	serlo	
310	FALSE		Walter		de Lacy			FALSE	walter	de lacy
311	FALSE		Ernulf I		de Hesdin	died c. 1091		FALSE	ernulf i	de hesdin
312	FALSE		Edward		of Salisbury	sheriff of Wiltshire		FALSE	edward	of salisbury
313	FALSE		Ermelina		wife of Walter de Lacy			FALSE	ermelina	wife of walter de lacy
314	FALSE		Odo		son of Hamelin			FALSE	odo	son of hamelin
316	FALSE		Robert		Curtus			FALSE	robert	curtus
317	FALSE		William		of Evreux			FALSE	william	of evreux
318	FALSE		Walter		of Gloucester			FALSE	walter	of gloucester
319	FALSE		Geri		de Loges			FALSE	geri	de loges
320	FALSE		Winebald		of Ballon			FALSE	winebald	of ballon
321	FALSE		Roger		de Bully			FALSE	roger	de bully
322	FALSE		Ralph Bloet					FALSE	ralph bloet	
323	FALSE		Tofi					FALSE	tofi	
324	FALSE		Nigel		de Oilly			FALSE	nigel	de oilly
325	FALSE		Elias		Giffard			FALSE	elias	giffard
326	TRUE		Jumièges		Abbey			FALSE	jumièges	abbey
327	FALSE		Wulfwig			bishop of Dorchester		FALSE	wulfwig	
