act ID	person name ID	name-role	name sequence	name query indicator
1811	1489	R	1	FALSE
1811	3406	R	2	FALSE
1811	3409	A	1	FALSE
1811	3410	R	3	FALSE
1812	1	B	0	FALSE
1812	2	R	1	FALSE
1812	462	R	2	FALSE
1812	1472	W	1	FALSE
1812	1489	R	3	FALSE
1813	1	B	0	FALSE
1813	1385	A	2	FALSE
1813	1472	A	3	FALSE
1813	1489	R	1	FALSE
1813	2640	W	1	FALSE
1813	3138	A	1	FALSE
1813	3222	A	4	FALSE
1813	3411	R	2	FALSE
1814	1	B	0	FALSE
1814	2	R	3	FALSE
1814	12	R	2	FALSE
1814	1489	R	1	FALSE
1814	1780	W	1	FALSE
1814	3222	A	1	FALSE
1815	1	B	0	FALSE
1815	2	R	3	FALSE
1815	12	R	2	FALSE
1815	416	W	1	FALSE
1815	462	R	4	FALSE
1815	1385	A	1	FALSE
1815	1489	R	1	FALSE
1815	3222	A	2	FALSE
1816	1	B	0	FALSE
1816	1385	A	1	FALSE
1816	1489	R	1	FALSE
1816	1504	W	1	FALSE
1817	1	B	0	FALSE
1817	2	R	2	FALSE
1817	462	R	3	FALSE
1817	1385	A	1	FALSE
1817	1489	R	1	FALSE
1817	1699	W	1	FALSE
1817	3222	A	2	FALSE
1818	1	B	0	FALSE
1818	3051	W	1	FALSE
1818	3222	A	1	FALSE
1818	3412	R	1	FALSE
1819	1	B	0	FALSE
1819	2	R	2	FALSE
1819	462	R	3	FALSE
1819	1332	R	4	FALSE
1819	1469	R	1	FALSE
1819	3222	A	1	FALSE
1820	1	B	0	FALSE
1820	1472	A	2	FALSE
1820	1489	R	1	FALSE
1820	1494	A	1	FALSE
1820	1511	W	2	FALSE
1820	1780	W	1	FALSE
1821	1	B	0	FALSE
1821	1472	W	1	FALSE
1821	3413	A	1	FALSE
1822	1	B	0	FALSE
1822	2	R	1	FALSE
1822	462	R	2	FALSE
1822	1469	W	1	FALSE
1823	1	B	0	FALSE
1823	2	R	1	FALSE
1823	462	R	2	FALSE
1823	2667	W	1	FALSE
1824	1	B	0	FALSE
1824	96	W	3	FALSE
1824	1472	W	4	FALSE
1824	1489	R	1	FALSE
1824	1517	W	1	FALSE
1824	2303	R	2	FALSE
1824	2485	W	2	FALSE
1824	3414	R	3	FALSE
1825	1	B	0	FALSE
1825	2	R	2	FALSE
1825	5	R	4	FALSE
1825	462	R	3	FALSE
1825	1472	W	1	FALSE
1825	1489	R	1	FALSE
1826	5	R	1	FALSE
1826	142	W	1	FALSE
1826	149	A	1	FALSE
1826	3415	B	0	FALSE
1827	1	B	0	FALSE
1827	3182	W	1	FALSE
1827	3415	R	1	FALSE
1827	3416	A	1	FALSE
1827	3417	A	2	FALSE
1827	3418	W	2	FALSE
1828	1	B	0	FALSE
1828	1456	W	2	FALSE
1828	1469	W	1	FALSE
1828	3415	R	1	FALSE
1828	3416	A	1	FALSE
1828	3417	A	2	FALSE
1829	177	B	0	FALSE
1829	462	R	1	FALSE
1829	1149	W	6	FALSE
1829	1497	W	4	FALSE
1829	1504	W	1	FALSE
1829	1562	W	5	FALSE
1829	1957	W	3	FALSE
1829	2056	W	2	FALSE
1830	2	R	2	FALSE
1830	177	B	0	FALSE
1830	462	R	3	FALSE
1830	3419	R	1	FALSE
1831	2	R	2	FALSE
1831	20	W	7	FALSE
1831	27	R	3	FALSE
1831	155	B	1	FALSE
1831	258	W	11	FALSE
1831	263	W	5	FALSE
1831	324	W	12	FALSE
1831	988	W	4	FALSE
1831	1135	W	10	FALSE
1831	1289	W	2	FALSE
1831	1332	W	1	FALSE
1831	1398	W	6	FALSE
1831	1469	W	8	FALSE
1831	1666	R	1	FALSE
1831	1666	W	3	FALSE
1831	2432	W	9	FALSE
1832	78	R	1	FALSE
1832	155	B	0	FALSE
1832	1398	W	1	FALSE
1832	3028	W	2	FALSE
1833	155	B	0	FALSE
1833	1119	W	11	FALSE
1833	1149	R	1	FALSE
1833	1332	W	8	FALSE
1833	2056	W	12	FALSE
1833	2300	W	1	FALSE
1833	2439	W	10	FALSE
1833	3109	W	9	FALSE
1833	3164	W	14	FALSE
1833	3420	W	2	FALSE
1833	3421	W	3	FALSE
1833	3422	W	4	FALSE
1833	3423	W	5	FALSE
1833	3424	W	6	FALSE
